"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "Svelte", "XML", "HTML", "CSS", "JSON", "Log", "comment", "blank", "total"
"c:\Users\Usuario\school\app.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 229, 0, 1, 230
"c:\Users\Usuario\school\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 4674, 0, 0, 1, 4675
"c:\Users\Usuario\school\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 1, 45
"c:\Users\Usuario\school\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Usuario\school\src\app.css", "CSS", 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 13, 43
"c:\Users\Usuario\school\src\app.d.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 6, 4, 21
"c:\Users\Usuario\school\src\app.html", "HTML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"c:\Users\Usuario\school\src\hooks.server.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 2, 8, 51
"c:\Users\Usuario\school\src\lib\classes\errors.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6, 3, 15
"c:\Users\Usuario\school\src\lib\classes\responses.classes.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\Usuario\school\src\lib\components\Captcha\Captcha.svelte", "Svelte", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\Usuario\school\src\lib\components\Captcha\svg-captcha\index.d.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 94, 1, 119
"c:\Users\Usuario\school\src\lib\components\Captcha\svg-captcha\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Usuario\school\src\lib\components\Captcha\svg-captcha\lib\ch-to-path.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 2, 10, 46
"c:\Users\Usuario\school\src\lib\components\Captcha\svg-captcha\lib\char-preset.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Usuario\school\src\lib\components\Captcha\svg-captcha\lib\index.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 15, 83
"c:\Users\Usuario\school\src\lib\components\Captcha\svg-captcha\lib\option-manager.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\Usuario\school\src\lib\components\Captcha\svg-captcha\lib\random.ts", "TypeScript", 0, 112, 0, 0, 0, 0, 0, 0, 0, 12, 24, 148
"c:\Users\Usuario\school\src\lib\components\Messages\Alert.svelte", "Svelte", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Usuario\school\src\lib\components\Messages\AlertError.svelte", "Svelte", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Usuario\school\src\lib\components\Messages\AlertSuccess.svelte", "Svelte", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Usuario\school\src\lib\components\Messages\AlertWarning.svelte", "Svelte", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\Usuario\school\src\lib\components\Navbar\Navbar.svelte", "Svelte", 0, 0, 0, 204, 0, 0, 0, 0, 0, 14, 36, 254
"c:\Users\Usuario\school\src\lib\components\Navbar\navbarItems.ts", "TypeScript", 0, 83, 0, 0, 0, 0, 0, 0, 0, 1, 7, 91
"c:\Users\Usuario\school\src\lib\database\index.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 3, 23
"c:\Users\Usuario\school\src\lib\database\migrations\00001_usuarios.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Usuario\school\src\lib\database\migrations\00002_pregseg.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Usuario\school\src\lib\database\migrations\00003_sessions.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Usuario\school\src\lib\database\migrations\00004_alumnos.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 1, 6, 63
"c:\Users\Usuario\school\src\lib\database\migrations\00005_empleados.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 8, 3, 36
"c:\Users\Usuario\school\src\lib\database\migrations\00006_grados.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 14, 7, 51
"c:\Users\Usuario\school\src\lib\database\migrations\00007_horarios.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 16, 7, 63
"c:\Users\Usuario\school\src\lib\database\migrator.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55
"c:\Users\Usuario\school\src\lib\database\repositories\alumnos.repository.ts", "TypeScript", 0, 155, 0, 0, 0, 0, 0, 0, 0, 4, 20, 179
"c:\Users\Usuario\school\src\lib\database\repositories\grados.repository.ts", "TypeScript", 0, 144, 0, 0, 0, 0, 0, 0, 0, 1, 20, 165
"c:\Users\Usuario\school\src\lib\database\repositories\horarios.repository.ts", "TypeScript", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 13, 113
"c:\Users\Usuario\school\src\lib\database\repositories\preg_seg.repository.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"c:\Users\Usuario\school\src\lib\database\repositories\profesores.repository.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 56
"c:\Users\Usuario\school\src\lib\database\repositories\sessions.repository.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\Usuario\school\src\lib\database\repositories\types.repository.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\database\repositories\user.repository.ts", "TypeScript", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 8, 84
"c:\Users\Usuario\school\src\lib\database\types.ts", "TypeScript", 0, 186, 0, 0, 0, 0, 0, 0, 0, 104, 41, 331
"c:\Users\Usuario\school\src\lib\handlers\alumnos.handlers.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\Usuario\school\src\lib\handlers\backup.handler.ts", "TypeScript", 0, 84, 0, 0, 0, 0, 0, 0, 0, 16, 22, 122
"c:\Users\Usuario\school\src\lib\handlers\empleados.handlers.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 2, 10, 57
"c:\Users\Usuario\school\src\lib\handlers\login.handler.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 0, 0, 0, 1, 16, 89
"c:\Users\Usuario\school\src\lib\handlers\pregseg.handler.ts", "TypeScript", 0, 98, 0, 0, 0, 0, 0, 0, 0, 1, 19, 118
"c:\Users\Usuario\school\src\lib\handlers\register.handler.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 8, 42
"c:\Users\Usuario\school\src\lib\handlers\types.handler.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\Usuario\school\src\lib\images\icons\add_24dp_000000_FILL0_wght400_GRAD0_opsz24.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\admin_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\administrar_usuario_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\school\src\lib\images\icons\backup_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
